,filename,LCD,PLD,LFPD,density cm3_g,ASA_m2_cm3,NASA_m2_cm3,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,fomula,Cu,H,C,N,O,K,Pb,S,Zn,Co,Yb,Cs,Si,Cd,Cl,Dy,Ni,B,Th,Br,V,P,Ag,Mo,Gd,Na,Ba,Mn,Fe,Pt,F,Lu,W,Sm,In,Sc,Tb,Mg,La,Pd,I,Al,Ce,Cr,Ti,Zr,Nd,Pr,Eu,Y,Hf,U,Li,Rh,Ga,Se,Hg,Ca,Er,Ho,Re,Sr,Ru,Ge,Bi,Sn,Sb,Rb,Tm,Be,Ir,As,Nb,Au,Te,Np,Pu,all_electronegativity,metal_electronegativity,nonmetal_electronegativity,atom_number,volume,density g/cc
10,acscombsci.5b00188_34903_clean,6.15808,5.85025,6.15808,2.16583,1748.44,0,0.542,0.25025,0,Cu,No,0,clean,Y,Cu2 H7 C28 Br9 N2 O8,2,7,28,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.84,3.8,147.04,56,1031.667729,2.165821084
11,acscombsci.5b00188_5013797_clean,9.69678,6.71185,9.61668,0.664961,2272.9,0,0.7302,1.09811,0,Zn,No,0,clean,Y,Zn4 H76 C65 O22,0,76,65,0,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.23,6.6,408.63,167,3673.029084,0.664988748
12,acs.inorgchem.5b02316_ic5b02316_si_002_clean,10.12066,5.58472,9.70957,1.34196,2005.01,0,0.658,0.490328,0,Cu,Yes,Cu,clean,Y,Cu8 H80 C128 N32 Cl2 O32,8,80,128,32,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.28,15.2,716.08,282,3907.101466,1.341943375
13,acs.inorgchem.5b02378_ic5b02378_si_002_clean,3.84352,3.57212,3.8244,2.34418,318.947,0,0.356,0.151866,0,"Dy,Ni",No,0,clean,Y,Dy8 Ni4 H48 C192 N24 O104,0,48,192,24,104,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043.32,17.4,1025.92,380,4171.811636,2.34416749
14,acs.inorgchem.6b00136_ic6b00136_si_002_clean,7.2744,7.0365,7.27294,1.17665,1340.62,0,0.582,0.494624,0,Zn,Yes,Zn,clean,Y,Zn8 H80 C144 N20 O32,0,80,144,20,32,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.28,13.2,714.08,284,4410.769817,1.176692358
15,acs.inorgchem.6b00276_ic6b00276_si_006_clean,14.12459,8.71298,14.12459,0.76132,1982.07,21.492,0.7202,0.945989,0,"Zn,Co",Yes,Zn,clean,Y,Zn24 Co36 B36 H1404 C1188 N108 O240,0,1404,1188,108,240,0,0,0,24,36,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7452.84,107.28,7345.56,3036,54783.41349,0.761322332
16,acs.inorgchem.6b01211_ic6b01211_si_002_clean,11.28381,4.52903,11.28381,0.822811,2257.22,0,0.6948,0.844422,0,Cu,Yes,Cu,clean,Y,Cu18 H90 C234 N36 O72,18,90,234,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.02,34.2,1151.82,450,11505.96555,0.82280266
17,acs.inorgchem.6b01416_ic6b01416_si_004_clean,6.69143,3.5273,6.69143,1.34288,1327.26,0,0.5278,0.393035,0,Cd,Yes,Cd,clean,Y,Cd16 H192 C288 N32 O64,0,192,288,32,64,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501.28,27.04,1474.24,592,8561.164671,1.342867122
18,acs.inorgchem.6b01762_ic6b01762_si_002_clean,11.40609,8.52606,11.40609,2.31198,1582.43,0,0.647,0.279846,8.65E-05,Th,Yes,Th,clean,Y,Th88 S104 O548,0,0,0,0,548,0,0,104,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267.84,114.4,2153.44,740,23358.0641,2.311993271
19,acs.jpcc.6b04690_jp6b04690_si_005_clean,7.34724,4.81711,7.33146,1.24071,916.497,73.5263,0.5146,0.414764,0,Zn,No,0,clean,Y,Zn16 H290 C298 N32 O48,0,290,298,32,48,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686.7,26.4,1660.3,684,8209.65495,1.240748039
20,ADOBIF_clean,5.54781,3.82743,5.54167,1.58873,944.037,131.28,0.4886,0.30754,0,"V,Co",Yes,V,clean,Y,V32 Co4 H64 C80 N16 O60,0,64,80,16,60,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.52,59.68,599.84,256,4259.507206,1.588725672
21,AFEKAX_clean,8.19182,6.99421,8.19182,0.987281,1565.63,78.0532,0.641,0.649258,0,Cu,Yes,Cu,clean,Y,Cu1 H32 C36 N4,1,32,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.26,1.9,174.36,73,982.627968,0.987257654
22,AGAYIQ_clean,4.02834,2.68983,4.02834,2.1487,0,227.224,0.3908,0.181878,0,Cu,Yes,Cu,clean,N,Cu8 C160 Br24 N16 O48,8,0,160,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,15.2,692.8,256,4126.730959,2.148683045
23,AGAYOW_clean,5.75249,2.57901,5.75249,1.68923,0,902.37,0.5038,0.298243,0,Cu,Yes,Cu,clean,N,Cu24 H112 C288 Br48 N16 O112,24,112,288,16,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602.4,45.6,1556.8,600,10762.63035,1.689217487
24,AGUBUA_clean,5.46218,4.59563,5.46034,1.83317,1345.91,0,0.576,0.31421,0,Zn,No,0,clean,Y,Zn12 P24 H8 O48,0,8,0,0,48,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.08,19.8,235.28,92,2087.096619,1.833361108
25,AHIYOH_clean,5.55847,4.74922,5.55001,1.42546,843.163,0,0.4554,0.319476,0,Co,Yes,Co,clean,Y,Co28 H160 C288 O120,0,160,288,0,120,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551.84,52.64,1499.2,596,8376.271833,1.425449896
